epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,473.4,0.75439,2.75199,1.05747,0.97574,0.97241,0.9918,0.87589,0.53507,0.56423,0.94936,0.00998748,0.00332916,0.00998748,0.00332916,0.00998748,0.00332916,0.00998748,0.00332916
2,673.91,0.59982,0.92417,0.97958,0.9889,0.99211,0.995,0.90894,0.43139,0.39164,0.89026,0.0195917,0.00653058,0.0195917,0.00653058,0.0195917,0.00653058,0.0195917,0.00653058
3,866.789,0.59534,0.83355,0.98657,0.83672,0.77947,0.88183,0.73841,0.66795,1.19981,1.11133,0.0288,0.00959999,0.0288,0.00959999,0.0288,0.00959999,0.0288,0.00959999
4,1119.32,0.56683,0.74452,0.98855,0.98333,0.99036,0.99266,0.90817,0.45279,0.35606,0.94349,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1356.65,0.50442,0.60192,0.97075,0.99517,0.9961,0.99495,0.92205,0.39423,0.28943,0.90984,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1545.19,0.47395,0.53175,0.96154,0.99444,0.99462,0.99487,0.89447,0.46935,0.35242,0.94696,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1727.15,0.44735,0.47668,0.95205,0.99802,0.99903,0.99485,0.94299,0.34318,0.23175,0.88281,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1932.14,0.43389,0.44072,0.94632,0.99865,0.99981,0.995,0.94874,0.32811,0.2182,0.87101,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2120.51,0.42098,0.41641,0.94175,0.99897,1,0.995,0.95554,0.30656,0.19544,0.85431,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2311.48,0.41042,0.39412,0.94051,0.99852,1,0.995,0.95881,0.31689,0.19628,0.85886,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2499.73,0.40062,0.38167,0.93683,0.99878,0.99975,0.995,0.96144,0.29319,0.17941,0.84705,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2806.81,0.39068,0.36451,0.93315,0.99885,0.99966,0.995,0.96498,0.28201,0.17637,0.84479,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3110.27,0.3876,0.35543,0.93186,0.9989,0.99976,0.995,0.96505,0.28174,0.17351,0.84294,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3453.2,0.38087,0.34402,0.93184,0.99883,1,0.995,0.97084,0.2687,0.17356,0.83398,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3780.87,0.37656,0.34233,0.92978,0.99874,1,0.995,0.96816,0.2712,0.16173,0.83721,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,4152.9,0.37324,0.32834,0.92889,0.99892,1,0.995,0.97083,0.27194,0.16274,0.836,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,4544.38,0.36617,0.32563,0.92598,0.99871,1,0.995,0.97207,0.26989,0.15647,0.83726,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4927.03,0.3615,0.31646,0.92374,0.99869,1,0.995,0.97368,0.2576,0.15326,0.83039,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,5237.57,0.3603,0.30934,0.92432,0.99893,1,0.995,0.97461,0.2554,0.14878,0.82762,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,5433.31,0.35609,0.305,0.92362,0.99877,1,0.995,0.97423,0.25612,0.15029,0.83034,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,5643.8,0.35072,0.29782,0.92125,0.99872,1,0.995,0.97615,0.24578,0.14527,0.82524,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,5957.49,0.34692,0.29328,0.92042,0.99873,1,0.995,0.97746,0.24804,0.13837,0.82476,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
